complaint,department,category,subcategory,severity,priority,urgency
"కరెంట్ వైర్ తెగి రోడ్డుపై పడింది Secunderabad Railway Station లో, నిప్పులు చెరుగుతున్నాయి ప్రాణాపాయం ఉంది. Multiple residents have reported this problem.",Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
చెత్త కుప్పలు పేరుకుపోయి దుర్వాసన వస్తోంది Koti Women's College లో వ్యాధులు ప్రబలుతున్నాయి.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Speed breaker not painted with reflective lines near Ameerpet Center, causing dangerous vehicle jumps.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
"No municipal water supply for the past 5 days in Tarnaka Tarnaka signal, residents facing severe crisis. Danger to public health and safety.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
Nagole X Roads కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై. Kindly take strict and swift civic action.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Major commercial building fire raging on 3rd floor with people trapped inside at MG Road Metro Station. Situation is deteriorating quickly.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"Traffic signal non-functional at high-speed intersection in Alwal Main Road, regular near-fatal crashes. Pedestrians and daily commuters are suffering badly.",Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Dilsukhnagar Bus Depot కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై. The municipal corporation needs to inspect and resolve this immediately.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Pothole on main road near Hitech City Mindspace causing vehicle damage and traffic congestion. Multiple residents have reported this problem.,Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
చెత్త కుప్పలు పేరుకుపోయి దుర్వాసన వస్తోంది Ameerpet Center లో వ్యాధులు ప్రబలుతున్నాయి. Kindly take strict and swift civic action.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
పార్కులో పిల్లల ఆట స్థలంలో పరికరాలు విరిగిపోయి ప్రమాదకరంగా ఉన్నాయి Lingampally Market లో. Multiple residents have reported this problem.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
"కరెంట్ వైర్ తెగి రోడ్డుపై పడింది Charminar Main Bazaar లో, నిప్పులు చెరుగుతున్నాయి ప్రాణాపాయం ఉంది. Please send inspection team immediately.",Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
Dilapidated 3-story residential building structural crack with falling wall debris at Banjara Hills Road No 12. Situation is deteriorating quickly.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
"కరెంట్ వైర్ తెగి రోడ్డుపై పడింది Dilsukhnagar Bus Depot లో, నిప్పులు చెరుగుతున్నాయి ప్రాణాపాయం ఉంది.",Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
Mehdipatnam Bus Stop మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై. Situation is deteriorating quickly.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Abandoned rusty vehicle loaded with scrap blocking bus bay near Koti Women's College. Multiple residents have reported this problem.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
"Drinking water pipe burst near Koti Women's College, thousands of liters of clean water flooding road. Multiple residents have reported this problem.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
రోడ్డుపై మ్యాన్‌హోల్ మూత లేకుండా తెరిచి ఉంది Lingampally Market వద్ద చాలా ప్రమాదకరం. Danger to public health and safety.,Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Low water pressure in municipal pipeline near Alwal Main Road. This has become an urgent public hazard.,Water Supply & Sewerage,Water & Drainage,Low Pressure,LOW,LOW,ROUTINE
Open illegal borewell pit left uncovered in Dilsukhnagar Bus Depot vacant plot where small children play.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
Unsafe deep construction basement excavated without safety barricade or warning lights near Begumpet Airport Road. The municipal corporation needs to inspect and resolve this immediately.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
Secunderabad Railway Station కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Electric pole tilted dangerously at 45 degrees over residential gate in MG Road Metro Station. This has become an urgent public hazard.,Electricity & Power,Power Infrastructure,Tilted Electric Pole,HIGH,HIGH,WITHIN 24 HOURS
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Secunderabad Railway Station.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
Open illegal borewell pit left uncovered in RTC Cross Roads vacant plot where small children play.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
"Dangerous crater-sized road collapse on flyover near Banjara Hills Road No 12, vehicles at extreme risk of falling.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
Hitech City Mindspace మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై. This has become an urgent public hazard.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు Gachibowli Flyover వద్ద తక్షణమే తొలగించాలి. The municipal corporation needs to inspect and resolve this immediately.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Koti Women's College మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై. This has become an urgent public hazard.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
"రోడ్డుపై పెద్ద గుంతలు పడ్డాయి Ameerpet Center వద్ద, వాహనాలు తిరగడం కష్టంగా ఉంది. Pedestrians and daily commuters are suffering badly.",Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
Dead stray cattle carcass lying decaying near primary school gate in Tarnaka Tarnaka signal. Please send inspection team immediately.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
"Traffic signal non-functional at high-speed intersection in Ameerpet Center, regular near-fatal crashes.",Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Abandoned rusty vehicle loaded with scrap blocking bus bay near Banjara Hills Road No 12. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
Kukatpally Housing Board మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Massive garbage overflow uncollected for 10 days outside vegetable market in Gachibowli Flyover. Kindly take strict and swift civic action.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near Secunderabad Railway Station. Situation is deteriorating quickly.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
Massive garbage overflow uncollected for 10 days outside vegetable market in Alwal Main Road.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Alwal Main Road కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి. Situation is deteriorating quickly.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Secunderabad Railway Station మే ఖులా బోర్వెల్ గడ్డా బచ్చో కే ఖేల్నే కి జగహ్ పర్ హై తురంత్ బంద్ కియా జాయే.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
"Public toilet facility choked, leaking sewage onto pavement near Koti Women's College.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
స్ట్రీట్ లైట్లు వెలగడం లేదు RTC Cross Roads లో చీకటిగా ఉంది దొంగతనాలు జరుగుతున్నాయి.,Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Pothole on main road near Madhapur Police Station junction causing vehicle damage and traffic congestion.,Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
Illegal commercial billboard hoarding erected without permit hanging dangerously in Uppal Ring Road.,Town Planning & Parks,Parks & Urban Planning,Illegal Hoarding,HIGH,HIGH,WITHIN 24 HOURS
Illegal encroachments blocking emergency fire tender access lane in Alwal Main Road market. The municipal corporation needs to inspect and resolve this immediately.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
"Contaminated brown foul-smelling tap water supplied to households near Kukatpally Housing Board, children falling sick.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
"Speed breaker not painted with reflective lines near Mehdipatnam Bus Stop, causing dangerous vehicle jumps. Please send inspection team immediately.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Banjara Hills Road No 12 చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Koti Women's College. Multiple residents have reported this problem.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
"Speed breaker not painted with reflective lines near Lingampally Market, causing dangerous vehicle jumps.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
"Sewage manhole overflowing on street near Jubilee Hills Check Post, black wastewater entering residences. This has become an urgent public hazard.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
స్ట్రీట్ లైట్లు వెలగడం లేదు Ameerpet Center లో చీకటిగా ఉంది దొంగతనాలు జరుగుతున్నాయి. This has become an urgent public hazard.,Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Nagole X Roads.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
Main road divider broken and sharp metal protruding into traffic lane near Tarnaka Tarnaka signal. Pedestrians and daily commuters are suffering badly.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
రోడ్డుపై మ్యాన్‌హోల్ మూత లేకుండా తెరిచి ఉంది Kukatpally Housing Board వద్ద చాలా ప్రమాదకరం. Pedestrians and daily commuters are suffering badly.,Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Hitech City Mindspace మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Unsafe deep construction basement excavated without safety barricade or warning lights near Dilsukhnagar Bus Depot. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
Pothole on main road near Uppal Ring Road causing vehicle damage and traffic congestion. Situation is deteriorating quickly.,Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
Footpath tiles broken and open construction debris left near Alwal Main Road.,Roads & Infrastructure,Road Maintenance,Footpath,LOW,LOW,ROUTINE
రోడ్డుపై మ్యాన్‌హోల్ మూత లేకుండా తెరిచి ఉంది Gachibowli Flyover వద్ద చాలా ప్రమాదకరం. Situation is deteriorating quickly.,Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Begumpet Airport Road మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Massive garbage overflow uncollected for 10 days outside vegetable market in Alwal Main Road. Please send inspection team immediately.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Unsafe deep construction basement excavated without safety barricade or warning lights near Alwal Main Road.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
Unsafe deep construction basement excavated without safety barricade or warning lights near Ameerpet Center. Multiple residents have reported this problem.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
రోడ్డుపై మ్యాన్‌హోల్ మూత లేకుండా తెరిచి ఉంది Ameerpet Center వద్ద చాలా ప్రమాదకరం. Multiple residents have reported this problem.,Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
High voltage 11kV live electrical wire snapped and lying sparking on flooded road near Dilsukhnagar Bus Depot. Pedestrians and daily commuters are suffering badly.,Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
Low water pressure in municipal pipeline near Hitech City Mindspace. Kindly take strict and swift civic action.,Water Supply & Sewerage,Water & Drainage,Low Pressure,LOW,LOW,ROUTINE
"Speed breaker not painted with reflective lines near Jubilee Hills Check Post, causing dangerous vehicle jumps. Kindly take strict and swift civic action.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
"Dangerous crater-sized road collapse on flyover near MG Road Metro Station, vehicles at extreme risk of falling.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
"Drinking water pipe burst near Hitech City Mindspace, thousands of liters of clean water flooding road.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
Massive garbage overflow uncollected for 10 days outside vegetable market in Alwal Main Road. Please send inspection team immediately.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Jubilee Hills Check Post కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై. Multiple residents have reported this problem.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు RTC Cross Roads వద్ద తక్షణమే తొలగించాలి. Multiple residents have reported this problem.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Dead stray cattle carcass lying decaying near primary school gate in Gachibowli Flyover.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
"కరెంట్ వైర్ తెగి రోడ్డుపై పడింది RTC Cross Roads లో, నిప్పులు చెరుగుతున్నాయి ప్రాణాపాయం ఉంది. This has become an urgent public hazard.",Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
"Traffic signal non-functional at high-speed intersection in Secunderabad Railway Station, regular near-fatal crashes. Pedestrians and daily commuters are suffering badly.",Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Public park swing and slide sets rusted with sharp jagged edges injuring children in Alwal Main Road. Danger to public health and safety.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Chemical tanker overturned leaking inflammable liquid on bypass road near Gachibowli Flyover. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Chemical Spill,CRITICAL,CRITICAL,IMMEDIATE
"No municipal water supply for the past 5 days in Charminar Main Bazaar, residents facing severe crisis. Please send inspection team immediately.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
"Sewage manhole overflowing on street near Banjara Hills Road No 12, black wastewater entering residences. Danger to public health and safety.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
Encroachment on municipal park boundary by private builder fencing in Secunderabad Railway Station.,Town Planning & Parks,Parks & Urban Planning,Park Encroachment,MEDIUM,MEDIUM,WITHIN 7 DAYS
Illegal commercial billboard hoarding erected without permit hanging dangerously in Ameerpet Center.,Town Planning & Parks,Parks & Urban Planning,Illegal Hoarding,HIGH,HIGH,WITHIN 24 HOURS
"Dangerous crater-sized road collapse on flyover near Koti Women's College, vehicles at extreme risk of falling.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
Street name boards missing or damaged throughout Uppal Ring Road residential layout.,Town Planning & Parks,Parks & Urban Planning,Signage Damage,LOW,LOW,ROUTINE
Street name boards missing or damaged throughout Secunderabad Railway Station residential layout.,Town Planning & Parks,Parks & Urban Planning,Signage Damage,LOW,LOW,ROUTINE
Unsafe deep construction basement excavated without safety barricade or warning lights near Kukatpally Housing Board.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
High voltage 11kV live electrical wire snapped and lying sparking on flooded road near Jubilee Hills Check Post. Kindly take strict and swift civic action.,Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
Exposed electric meter junction box with bare sparking wires near park in Lingampally Market.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
పార్కులో పిల్లల ఆట స్థలంలో పరికరాలు విరిగిపోయి ప్రమాదకరంగా ఉన్నాయి Alwal Main Road లో.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Massive deep pothole near Ameerpet Center where two bikers slipped and got injured. Kindly take strict and swift civic action.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
"Sewage manhole overflowing on street near Mehdipatnam Bus Stop, black wastewater entering residences. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
"Dangerous crater-sized road collapse on flyover near Ameerpet Center, vehicles at extreme risk of falling. Pedestrians and daily commuters are suffering badly.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
Abandoned rusty vehicle loaded with scrap blocking bus bay near Banjara Hills Road No 12. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
Mehdipatnam Bus Stop కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
"Dangerous crater-sized road collapse on flyover near Tarnaka Tarnaka signal, vehicles at extreme risk of falling.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
Encroachment on municipal park boundary by private builder fencing in Alwal Main Road. This has become an urgent public hazard.,Town Planning & Parks,Parks & Urban Planning,Park Encroachment,MEDIUM,MEDIUM,WITHIN 7 DAYS
