complaint,department,category,subcategory,severity,priority,urgency
Asphalt is completely washed away following monsoon rain leaving sharp stone surface. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Road Damage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Asphalt is completely washed away following monsoon rain leaving sharp stone surface. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Road Damage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Footpath paver blocks are broken and uneven, elderly pedestrians are tripping.",Roads & Infrastructure,Infrastructure,Broken Footpath,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Footpath paver blocks are broken and uneven, elderly pedestrians are tripping. It is located near Government High School.",Roads & Infrastructure,Infrastructure,Broken Footpath,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Footpath paver blocks are broken and uneven, elderly pedestrians are tripping. It is located on MG Road near the railway station.",Roads & Infrastructure,Infrastructure,Broken Footpath,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Footpath paver blocks are broken and uneven, elderly pedestrians are tripping. It is located opposite City Hospital main gate.",Roads & Infrastructure,Infrastructure,Broken Footpath,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Footpath paver blocks are broken and uneven, elderly pedestrians are tripping. It is located at Sector 4 residential colony.",Roads & Infrastructure,Infrastructure,Broken Footpath,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Footpath paver blocks are broken and uneven, elderly pedestrians are tripping. This has been continuing for the past 3 days.",Roads & Infrastructure,Infrastructure,Broken Footpath,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Footpath paver blocks are broken and uneven, elderly pedestrians are tripping. This has been continuing since yesterday morning.",Roads & Infrastructure,Infrastructure,Broken Footpath,MEDIUM,MEDIUM,WITHIN 7 DAYS
Road divider concrete slab smashed by truck and lying across fast lane.,Roads & Infrastructure,Infrastructure,Damaged Divider,HIGH,HIGH,WITHIN 24 HOURS
Road divider concrete slab smashed by truck and lying across fast lane. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Damaged Divider,HIGH,HIGH,WITHIN 24 HOURS
Road divider concrete slab smashed by truck and lying across fast lane. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Damaged Divider,HIGH,HIGH,WITHIN 24 HOURS
Road divider concrete slab smashed by truck and lying across fast lane. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Damaged Divider,HIGH,HIGH,WITHIN 24 HOURS
Road divider concrete slab smashed by truck and lying across fast lane. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Damaged Divider,HIGH,HIGH,WITHIN 24 HOURS
Road divider concrete slab smashed by truck and lying across fast lane. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Damaged Divider,HIGH,HIGH,WITHIN 24 HOURS
Road divider concrete slab smashed by truck and lying across fast lane. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Damaged Divider,HIGH,HIGH,WITHIN 24 HOURS
Stop sign and speed breaker warning board knocked down at dangerous curve.,Roads & Infrastructure,Infrastructure,Missing Signage,HIGH,HIGH,WITHIN 24 HOURS
Stop sign and speed breaker warning board knocked down at dangerous curve. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Missing Signage,HIGH,HIGH,WITHIN 24 HOURS
Stop sign and speed breaker warning board knocked down at dangerous curve. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Missing Signage,HIGH,HIGH,WITHIN 24 HOURS
Stop sign and speed breaker warning board knocked down at dangerous curve. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Missing Signage,HIGH,HIGH,WITHIN 24 HOURS
Stop sign and speed breaker warning board knocked down at dangerous curve. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Missing Signage,HIGH,HIGH,WITHIN 24 HOURS
Stop sign and speed breaker warning board knocked down at dangerous curve. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Missing Signage,HIGH,HIGH,WITHIN 24 HOURS
Stop sign and speed breaker warning board knocked down at dangerous curve. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Missing Signage,HIGH,HIGH,WITHIN 24 HOURS
Fallen tree branch and construction rubble blocking two lanes of public road.,Roads & Infrastructure,Infrastructure,Road Blockage,HIGH,HIGH,WITHIN 24 HOURS
Fallen tree branch and construction rubble blocking two lanes of public road. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Road Blockage,HIGH,HIGH,WITHIN 24 HOURS
Fallen tree branch and construction rubble blocking two lanes of public road. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Road Blockage,HIGH,HIGH,WITHIN 24 HOURS
Fallen tree branch and construction rubble blocking two lanes of public road. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Road Blockage,HIGH,HIGH,WITHIN 24 HOURS
Fallen tree branch and construction rubble blocking two lanes of public road. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Road Blockage,HIGH,HIGH,WITHIN 24 HOURS
Fallen tree branch and construction rubble blocking two lanes of public road. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Road Blockage,HIGH,HIGH,WITHIN 24 HOURS
Fallen tree branch and construction rubble blocking two lanes of public road. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Road Blockage,HIGH,HIGH,WITHIN 24 HOURS
Flyover expansion plate vibrating dangerously under heavy vehicle traffic.,Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Flyover expansion plate vibrating dangerously under heavy vehicle traffic. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Flyover expansion plate vibrating dangerously under heavy vehicle traffic. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Flyover expansion plate vibrating dangerously under heavy vehicle traffic. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Flyover expansion plate vibrating dangerously under heavy vehicle traffic. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Flyover expansion plate vibrating dangerously under heavy vehicle traffic. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Flyover expansion plate vibrating dangerously under heavy vehicle traffic. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Pedestrian curb completely dislodged into cycling lane.,Roads & Infrastructure,Infrastructure,Broken Footpath,LOW,LOW,ROUTINE
Pedestrian curb completely dislodged into cycling lane. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Broken Footpath,LOW,LOW,ROUTINE
Pedestrian curb completely dislodged into cycling lane. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Broken Footpath,LOW,LOW,ROUTINE
Pedestrian curb completely dislodged into cycling lane. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Broken Footpath,LOW,LOW,ROUTINE
Pedestrian curb completely dislodged into cycling lane. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Broken Footpath,LOW,LOW,ROUTINE
Pedestrian curb completely dislodged into cycling lane. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Broken Footpath,LOW,LOW,ROUTINE
Pedestrian curb completely dislodged into cycling lane. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Broken Footpath,LOW,LOW,ROUTINE
Small road depression developing near speed breaker on residential street.,Roads & Infrastructure,Infrastructure,Pothole,LOW,LOW,ROUTINE
Small road depression developing near speed breaker on residential street. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Pothole,LOW,LOW,ROUTINE
Small road depression developing near speed breaker on residential street. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Pothole,LOW,LOW,ROUTINE
Small road depression developing near speed breaker on residential street. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Pothole,LOW,LOW,ROUTINE
Small road depression developing near speed breaker on residential street. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Pothole,LOW,LOW,ROUTINE
Small road depression developing near speed breaker on residential street. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Pothole,LOW,LOW,ROUTINE
Small road depression developing near speed breaker on residential street. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Pothole,LOW,LOW,ROUTINE
"No drinking water supply in our locality for the past five days, borewells dried up.",Water Supply,Water,No Water Supply,HIGH,HIGH,WITHIN 24 HOURS
"No drinking water supply in our locality for the past five days, borewells dried up. It is located near Government High School.",Water Supply,Water,No Water Supply,HIGH,HIGH,WITHIN 24 HOURS
"No drinking water supply in our locality for the past five days, borewells dried up. It is located on MG Road near the railway station.",Water Supply,Water,No Water Supply,HIGH,HIGH,WITHIN 24 HOURS
"No drinking water supply in our locality for the past five days, borewells dried up. It is located opposite City Hospital main gate.",Water Supply,Water,No Water Supply,HIGH,HIGH,WITHIN 24 HOURS
"No drinking water supply in our locality for the past five days, borewells dried up. It is located at Sector 4 residential colony.",Water Supply,Water,No Water Supply,HIGH,HIGH,WITHIN 24 HOURS
"No drinking water supply in our locality for the past five days, borewells dried up. This has been continuing for the past 3 days.",Water Supply,Water,No Water Supply,HIGH,HIGH,WITHIN 24 HOURS
"No drinking water supply in our locality for the past five days, borewells dried up. This has been continuing since yesterday morning.",Water Supply,Water,No Water Supply,HIGH,HIGH,WITHIN 24 HOURS
Main drinking water pipeline burst flooding the entire colony street with clean water.,Water Supply,Water,Pipeline Damage,HIGH,HIGH,WITHIN 24 HOURS
Main drinking water pipeline burst flooding the entire colony street with clean water. It is located near Government High School.,Water Supply,Water,Pipeline Damage,HIGH,HIGH,WITHIN 24 HOURS
Main drinking water pipeline burst flooding the entire colony street with clean water. It is located on MG Road near the railway station.,Water Supply,Water,Pipeline Damage,HIGH,HIGH,WITHIN 24 HOURS
Main drinking water pipeline burst flooding the entire colony street with clean water. It is located opposite City Hospital main gate.,Water Supply,Water,Pipeline Damage,HIGH,HIGH,WITHIN 24 HOURS
Main drinking water pipeline burst flooding the entire colony street with clean water. It is located at Sector 4 residential colony.,Water Supply,Water,Pipeline Damage,HIGH,HIGH,WITHIN 24 HOURS
Main drinking water pipeline burst flooding the entire colony street with clean water. This has been continuing for the past 3 days.,Water Supply,Water,Pipeline Damage,HIGH,HIGH,WITHIN 24 HOURS
Main drinking water pipeline burst flooding the entire colony street with clean water. This has been continuing since yesterday morning.,Water Supply,Water,Pipeline Damage,HIGH,HIGH,WITHIN 24 HOURS
Tap water coming out dark brown and smelling like sewage for three days.,Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
Tap water coming out dark brown and smelling like sewage for three days. It is located near Government High School.,Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
Tap water coming out dark brown and smelling like sewage for three days. It is located on MG Road near the railway station.,Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
Tap water coming out dark brown and smelling like sewage for three days. It is located opposite City Hospital main gate.,Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
Tap water coming out dark brown and smelling like sewage for three days. It is located at Sector 4 residential colony.,Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
Tap water coming out dark brown and smelling like sewage for three days. This has been continuing for the past 3 days.,Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
Tap water coming out dark brown and smelling like sewage for three days. This has been continuing since yesterday morning.,Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
Extremely low water pressure on 2nd and 3rd floors despite pump running.,Water Supply,Water,Low Pressure,MEDIUM,MEDIUM,WITHIN 3 DAYS
Extremely low water pressure on 2nd and 3rd floors despite pump running. It is located near Government High School.,Water Supply,Water,Low Pressure,MEDIUM,MEDIUM,WITHIN 3 DAYS
Extremely low water pressure on 2nd and 3rd floors despite pump running. It is located on MG Road near the railway station.,Water Supply,Water,Low Pressure,MEDIUM,MEDIUM,WITHIN 3 DAYS
Extremely low water pressure on 2nd and 3rd floors despite pump running. It is located opposite City Hospital main gate.,Water Supply,Water,Low Pressure,MEDIUM,MEDIUM,WITHIN 3 DAYS
Extremely low water pressure on 2nd and 3rd floors despite pump running. It is located at Sector 4 residential colony.,Water Supply,Water,Low Pressure,MEDIUM,MEDIUM,WITHIN 3 DAYS
Extremely low water pressure on 2nd and 3rd floors despite pump running. This has been continuing for the past 3 days.,Water Supply,Water,Low Pressure,MEDIUM,MEDIUM,WITHIN 3 DAYS
Extremely low water pressure on 2nd and 3rd floors despite pump running. This has been continuing since yesterday morning.,Water Supply,Water,Low Pressure,MEDIUM,MEDIUM,WITHIN 3 DAYS
Underground distribution valve leaking water onto road creating giant puddle.,Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Underground distribution valve leaking water onto road creating giant puddle. It is located near Government High School.,Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Underground distribution valve leaking water onto road creating giant puddle. It is located on MG Road near the railway station.,Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Underground distribution valve leaking water onto road creating giant puddle. It is located opposite City Hospital main gate.,Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Underground distribution valve leaking water onto road creating giant puddle. It is located at Sector 4 residential colony.,Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Underground distribution valve leaking water onto road creating giant puddle. This has been continuing for the past 3 days.,Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Underground distribution valve leaking water onto road creating giant puddle. This has been continuing since yesterday morning.,Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Water tanker scheduled for municipal colony never arrived today.,Water Supply,Water,No Water Supply,MEDIUM,HIGH,WITHIN 24 HOURS
Water tanker scheduled for municipal colony never arrived today. It is located near Government High School.,Water Supply,Water,No Water Supply,MEDIUM,HIGH,WITHIN 24 HOURS
Water tanker scheduled for municipal colony never arrived today. It is located on MG Road near the railway station.,Water Supply,Water,No Water Supply,MEDIUM,HIGH,WITHIN 24 HOURS
Water tanker scheduled for municipal colony never arrived today. It is located opposite City Hospital main gate.,Water Supply,Water,No Water Supply,MEDIUM,HIGH,WITHIN 24 HOURS
Water tanker scheduled for municipal colony never arrived today. It is located at Sector 4 residential colony.,Water Supply,Water,No Water Supply,MEDIUM,HIGH,WITHIN 24 HOURS
Water tanker scheduled for municipal colony never arrived today. This has been continuing for the past 3 days.,Water Supply,Water,No Water Supply,MEDIUM,HIGH,WITHIN 24 HOURS
Water tanker scheduled for municipal colony never arrived today. This has been continuing since yesterday morning.,Water Supply,Water,No Water Supply,MEDIUM,HIGH,WITHIN 24 HOURS
"Sewage water mixing into drinking water supply, children falling ill.",Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
"Sewage water mixing into drinking water supply, children falling ill. It is located near Government High School.",Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
"Sewage water mixing into drinking water supply, children falling ill. It is located on MG Road near the railway station.",Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
"Sewage water mixing into drinking water supply, children falling ill. It is located opposite City Hospital main gate.",Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
"Sewage water mixing into drinking water supply, children falling ill. It is located at Sector 4 residential colony.",Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
"Sewage water mixing into drinking water supply, children falling ill. This has been continuing for the past 3 days.",Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
"Sewage water mixing into drinking water supply, children falling ill. This has been continuing since yesterday morning.",Water Supply,Water,Contaminated Water,CRITICAL,URGENT,IMMEDIATE
"Public water standpost tap missing, water gushing onto sidewalk continuously.",Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Public water standpost tap missing, water gushing onto sidewalk continuously. It is located near Government High School.",Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Public water standpost tap missing, water gushing onto sidewalk continuously. It is located on MG Road near the railway station.",Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Public water standpost tap missing, water gushing onto sidewalk continuously. It is located opposite City Hospital main gate.",Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Public water standpost tap missing, water gushing onto sidewalk continuously. It is located at Sector 4 residential colony.",Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Public water standpost tap missing, water gushing onto sidewalk continuously. This has been continuing for the past 3 days.",Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Public water standpost tap missing, water gushing onto sidewalk continuously. This has been continuing since yesterday morning.",Water Supply,Water,Water Leakage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Chlorine smell extremely strong and burning eyes when using municipal water.,Water Supply,Water,Contaminated Water,HIGH,HIGH,WITHIN 24 HOURS
Chlorine smell extremely strong and burning eyes when using municipal water. It is located near Government High School.,Water Supply,Water,Contaminated Water,HIGH,HIGH,WITHIN 24 HOURS
Chlorine smell extremely strong and burning eyes when using municipal water. It is located on MG Road near the railway station.,Water Supply,Water,Contaminated Water,HIGH,HIGH,WITHIN 24 HOURS
Chlorine smell extremely strong and burning eyes when using municipal water. It is located opposite City Hospital main gate.,Water Supply,Water,Contaminated Water,HIGH,HIGH,WITHIN 24 HOURS
Chlorine smell extremely strong and burning eyes when using municipal water. It is located at Sector 4 residential colony.,Water Supply,Water,Contaminated Water,HIGH,HIGH,WITHIN 24 HOURS
Chlorine smell extremely strong and burning eyes when using municipal water. This has been continuing for the past 3 days.,Water Supply,Water,Contaminated Water,HIGH,HIGH,WITHIN 24 HOURS
Chlorine smell extremely strong and burning eyes when using municipal water. This has been continuing since yesterday morning.,Water Supply,Water,Contaminated Water,HIGH,HIGH,WITHIN 24 HOURS
Minor drip from municipal water meter connection outside house.,Water Supply,Water,Water Leakage,LOW,LOW,ROUTINE
Minor drip from municipal water meter connection outside house. It is located near Government High School.,Water Supply,Water,Water Leakage,LOW,LOW,ROUTINE
Minor drip from municipal water meter connection outside house. It is located on MG Road near the railway station.,Water Supply,Water,Water Leakage,LOW,LOW,ROUTINE
Minor drip from municipal water meter connection outside house. It is located opposite City Hospital main gate.,Water Supply,Water,Water Leakage,LOW,LOW,ROUTINE
Minor drip from municipal water meter connection outside house. It is located at Sector 4 residential colony.,Water Supply,Water,Water Leakage,LOW,LOW,ROUTINE
Minor drip from municipal water meter connection outside house. This has been continuing for the past 3 days.,Water Supply,Water,Water Leakage,LOW,LOW,ROUTINE
Minor drip from municipal water meter connection outside house. This has been continuing since yesterday morning.,Water Supply,Water,Water Leakage,LOW,LOW,ROUTINE
High tension electric cable snapped and sparking violently on wet roadway.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
High tension electric cable snapped and sparking violently on wet roadway. It is located near Government High School.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
High tension electric cable snapped and sparking violently on wet roadway. It is located on MG Road near the railway station.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
High tension electric cable snapped and sparking violently on wet roadway. It is located opposite City Hospital main gate.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
High tension electric cable snapped and sparking violently on wet roadway. It is located at Sector 4 residential colony.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
High tension electric cable snapped and sparking violently on wet roadway. This has been continuing for the past 3 days.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
High tension electric cable snapped and sparking violently on wet roadway. This has been continuing since yesterday morning.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Distribution transformer caught fire with thick smoke and loud crackling noises.,Electricity,Electricity,Transformer Issue,CRITICAL,URGENT,IMMEDIATE
Distribution transformer caught fire with thick smoke and loud crackling noises. It is located near Government High School.,Electricity,Electricity,Transformer Issue,CRITICAL,URGENT,IMMEDIATE
Distribution transformer caught fire with thick smoke and loud crackling noises. It is located on MG Road near the railway station.,Electricity,Electricity,Transformer Issue,CRITICAL,URGENT,IMMEDIATE
Distribution transformer caught fire with thick smoke and loud crackling noises. It is located opposite City Hospital main gate.,Electricity,Electricity,Transformer Issue,CRITICAL,URGENT,IMMEDIATE
Distribution transformer caught fire with thick smoke and loud crackling noises. It is located at Sector 4 residential colony.,Electricity,Electricity,Transformer Issue,CRITICAL,URGENT,IMMEDIATE
Distribution transformer caught fire with thick smoke and loud crackling noises. This has been continuing for the past 3 days.,Electricity,Electricity,Transformer Issue,CRITICAL,URGENT,IMMEDIATE
Distribution transformer caught fire with thick smoke and loud crackling noises. This has been continuing since yesterday morning.,Electricity,Electricity,Transformer Issue,CRITICAL,URGENT,IMMEDIATE
Total power blackout in entire sector for more than 14 hours in extreme heat.,Electricity,Electricity,Power Outage,HIGH,HIGH,WITHIN 24 HOURS
Total power blackout in entire sector for more than 14 hours in extreme heat. It is located near Government High School.,Electricity,Electricity,Power Outage,HIGH,HIGH,WITHIN 24 HOURS
Total power blackout in entire sector for more than 14 hours in extreme heat. It is located on MG Road near the railway station.,Electricity,Electricity,Power Outage,HIGH,HIGH,WITHIN 24 HOURS
Total power blackout in entire sector for more than 14 hours in extreme heat. It is located opposite City Hospital main gate.,Electricity,Electricity,Power Outage,HIGH,HIGH,WITHIN 24 HOURS
Total power blackout in entire sector for more than 14 hours in extreme heat. It is located at Sector 4 residential colony.,Electricity,Electricity,Power Outage,HIGH,HIGH,WITHIN 24 HOURS
Total power blackout in entire sector for more than 14 hours in extreme heat. This has been continuing for the past 3 days.,Electricity,Electricity,Power Outage,HIGH,HIGH,WITHIN 24 HOURS
